'lh_bankssts',DMN,,
'lh_caudalanteriorcingulate',VAN,,
'lh_caudalmiddlefrontal',Control,,
'lh_cuneus',Visual,,
'lh_entorhinal',Limbic,,
'lh_fusiform',Limbic,Visual,
'lh_inferiorparietal',DMN,DAN,
'lh_inferiortemporal',DAN,Limbic,
'lh_isthmuscingulate',DMN,,
'lh_lateraloccipital',Visual,,
'lh_lateralorbitofrontal',Limbic,,
'lh_lingual',Visual,,
'lh_medialorbitofrontal',Limbic,,
'lh_middletemporal',DMN,,
'lh_parahippocampal',DMN,,
'lh_paracentral',SMN,,
'lh_parsopercularis',Control,,
'lh_parsorbitalis',DMN,,
'lh_parstriangularis',DMN,,
'lh_pericalcarine',Visual,,
'lh_postcentral',SMN,,
'lh_posteriorcingulate',VAN,,
'lh_precentral',VAN,SMN,
'lh_precuneus',Control,DMN,
'lh_rostralanteriorcingulate',DMN,,
'lh_rostralmiddlefrontal',Control,VAN,
'lh_superiorfrontal',DMN,VAN,
'lh_superiorparietal',DAN,,
'lh_superiortemporal',DMN,SMN,
'lh_supramarginal',Control,VAN,
'lh_frontalpole',Limbic,,
'lh_temporalpole',Limbic,,
'lh_transversetemporal',SMN,,
'lh_insula',VAN,SMN,
'rh_bankssts',DMN,,
'rh_caudalanteriorcingulate',VAN,,
'rh_caudalmiddlefrontal',Control,,
'rh_cuneus',Visual,,
'rh_entorhinal',Limibic,,
'rh_fusiform',Limbic,Visual,
'rh_inferiorparietal',Control,DMN,DAN
'rh_inferiortemporal',DAN,Limbic,
'rh_isthmuscingulate',DMN,,
'rh_lateraloccipital',Visual,,
'rh_lateralorbitofrontal',Limbic,,
'rh_lingual',Visual,,
'rh_medialorbitofrontal',DMN,Limbic,
'rh_middletemporal',DMN,,
'rh_parahippocampal',DMN,,
'rh_paracentral',SMN,,
'rh_parsopercularis',Control,,
'rh_parsorbitalis',Control,,
'rh_parstriangularis',VAN,,
'rh_pericalcarine',Visual,,
'rh_postcentral',SMN,,
'rh_posteriorcingulate',VAN,,
'rh_precentral',VAN,SMN,
'rh_precuneus',Control,DMN,
'rh_rostralanteriorcingulate',DMN,,
'rh_rostralmiddlefrontal',Control,VAN,
'rh_superiorfrontal',DMN,DAN,VAN
'rh_superiorparietal',DAN,,
'rh_superiortemporal',SMN,,
'rh_supramarginal',Control,VAN,
'rh_frontalpole',Limbic,,
'rh_temporalpole',Limbic,,
'rh_transversetemporal',SMN,,
'rh_insula',VAN,SMN,